2:45:05 92% (15m left); send: 14732166 1.48 Kp/s (1.49 Kp/s avg); recv: 10525 1 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:06 92% (15m left); send: 14733655 1.49 Kp/s (1.49 Kp/s avg); recv: 10525 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:07 92% (15m left); send: 14735143 1.49 Kp/s (1.49 Kp/s avg); recv: 10525 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:08 92% (15m left); send: 14736630 1.49 Kp/s (1.49 Kp/s avg); recv: 10527 1 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:09 92% (14m left); send: 14738119 1.49 Kp/s (1.49 Kp/s avg); recv: 10528 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:10 92% (14m left); send: 14739607 1.49 Kp/s (1.49 Kp/s avg); recv: 10529 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:11 92% (14m left); send: 14741095 1.49 Kp/s (1.49 Kp/s avg); recv: 10532 2 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:12 92% (14m left); send: 14742583 1.49 Kp/s (1.49 Kp/s avg); recv: 10536 3 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:13 92% (14m left); send: 14744069 1.49 Kp/s (1.49 Kp/s avg); recv: 10538 1 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:14 92% (14m left); send: 14745560 1.49 Kp/s (1.49 Kp/s avg); recv: 10539 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:15 92% (14m left); send: 14747046 1.49 Kp/s (1.49 Kp/s avg); recv: 10540 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:16 92% (14m left); send: 14748528 1.48 Kp/s (1.49 Kp/s avg); recv: 10540 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:17 92% (14m left); send: 14750023 1.49 Kp/s (1.49 Kp/s avg); recv: 10542 1 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:18 92% (14m left); send: 14751511 1.49 Kp/s (1.49 Kp/s avg); recv: 10545 2 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:19 92% (14m left); send: 14752999 1.49 Kp/s (1.49 Kp/s avg); recv: 10548 2 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
